Policy_Sequence,,Q,Tp,Tnp,p,W1,W2,arrival_rate,gamma,Policy_Type,Switch_Index,Full Policy,,,,Tnp,p,Lambda,T,W1,Gamma,,,,,,Tp,Tnp,p,W1,W2,arrival_rate,gamma,,,Tnp,p,Lambda,T,W1,Gamma
"[0, 2, 2, 2, 2, 2]",30.10.3110.3,5,1,3,0.1,1,1,0.35,0.336666667,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.3110.4,5,1,3,0.1,1,1,0.35,0.445555556,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.3110.5,5,1,3,0.1,1,1,0.35,0.554444444,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.3110.6,5,1,3,0.1,1,1,0.35,0.663333333,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.3110.7,5,1,3,0.1,1,1,0.35,0.772222222,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.3110.8,5,1,3,0.1,1,1,0.35,0.881111111,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 2, 2, 2, 2, 2]",30.10.3110.9,5,1,3,0.1,1,1,0.35,0.99,Always Serve,,Always Serve_,,"[0, 2, 2, 2, 2, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110,5,1,3,0.1,1,1,0.475,0.01,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.1,5,1,3,0.1,1,1,0.475,0.118888889,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.2,5,1,3,0.1,1,1,0.475,0.227777778,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.3,5,1,3,0.1,1,1,0.475,0.336666667,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.4,5,1,3,0.1,1,1,0.475,0.445555556,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.5,5,1,3,0.1,1,1,0.475,0.554444444,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0, 0, 0, 0, 0, 2]",30.10.4110.6,5,1,3,0.1,1,1,0.475,0.663333333,Always Hold,,Always Hold_,,"[0, 0, 0, 0, 0, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,
